family,method,events,symbols,ndcg3,hit1,mass3,js,input_len,input_kind,latency_ms_per_query,latency_multiple_vs_ol,qps,seconds_per_1k_queries,ndcg_delta_vs_ol,hit_delta_vs_ol,js_delta_vs_ol,pareto_ndcg3,pareto_hit1,pareto_js
Scale,Follower,785,16,0.7235572589602018,0.4773235975942809,0.8697372536526953,0.2922324328583614,0.0,tokens,0.0003927271366895487,0.2475722623085343,2546297.178314167,0.0003927271366895487,-0.031548661151956536,-0.01609302181670974,0.029612510848790463,True,True,True
Scale,Visibility,785,16,0.7233918682639913,0.4773235975942809,0.8695440459732222,0.292145823104621,0.0,tokens,0.0004700083566907172,0.296289767879781,2127621.7449427964,0.0004700083566907172,-0.03171405184816711,-0.01609302181670974,0.029525901095050044,False,False,True
Context,History,785,16,0.6324834416511846,0.33865053523071365,0.8112294510433635,0.3225183572536893,0.0,tokens,0.0005528445520515864,0.34850908854957635,1808826.7240565827,0.0005528445520515864,-0.12262247846097374,-0.15476608418027699,0.059898435244118364,False,False,False
Context,No-OL Strong,785,16,0.7119674185577729,0.42134124519962624,0.890530137925584,0.30127079842331006,0.0,tokens,0.0013181066969991662,0.8309246457753057,758663.9247616482,0.0013181066969991662,-0.04313850155438548,-0.0720753742113644,0.0386508764137391,False,False,False
Context,Novelty,785,16,0.6725949214759315,0.3621158187495377,0.8571340880805677,0.3278864574156021,0.0,tokens,0.0004728253649470086,0.2980655889061319,2114945.7582760477,0.0004728253649470086,-0.0825109986362269,-0.13130080066145294,0.06526653540603111,False,False,False
Context,Rank/Time,785,16,0.6784181951488077,0.3723660055882272,0.8724245025121704,0.32008680651772,0.0,tokens,0.000552416980402389,0.3482395505660718,1810226.7589087952,0.000552416980402389,-0.07668772496335063,-0.12105061382276344,0.05746688450814902,False,False,False
Context,Sentiment,785,16,0.6905273726252168,0.42673919480295774,0.8448066643535409,0.31383402514040554,0.0,tokens,0.0004741989566052022,0.2989314908582446,2108819.4861477884,0.0004741989566052022,-0.06457854748694158,-0.06667742460803289,0.051214103130834576,False,False,False
Origin Role,OL Only,785,16,0.64984433550803,0.2919912680945271,0.8543015882176574,0.3141675732022666,0.0,tokens,0.00039448841562261805,0.24868255943160028,2534928.6833219365,0.00039448841562261805,-0.10526158460412838,-0.20142535131646355,0.051547651192695665,False,False,False
Origin Role,OL-Origin,785,16,0.7551059201121584,0.49341661941099063,0.9012450002207433,0.26261992200957096,0.0,tokens,0.0015863131557125598,1.0,630392.5529450757,0.0015863131557125598,0.0,0.0,0.0,True,True,True
Surface Text,Symbol + surface,785,16,0.7352681512572112,0.46198895852259,0.8857236766340489,0.28808065007720207,28.8125,words,0.049889311121660285,31.449850202654584,20044.37378502573,0.049889311121660285,-0.019837768854947146,-0.031427660888400655,0.02546072806763111,False,False,False
Surface Text,Symbol one-hot,785,16,0.6784181951488077,0.3723660055882272,0.8724245025121704,0.31893135767294556,0.0,tokens,0.00016975371787945429,0.10701147958594733,5890887.177564625,0.00016975371787945429,-0.07668772496335063,-0.12105061382276344,0.0563114356633746,True,True,True
Surface Text,Text surface,785,16,0.7407703661170635,0.4633058231449614,0.8955141445254298,0.2928176121566424,28.8125,words,0.04819312637361387,30.380587969067108,20749.847026888634,0.04819312637361387,-0.014335553995094896,-0.03011079626602925,0.030197690147071465,False,False,False
Text Encoder,BERT-origin text,785,16,0.7445421823762919,0.44034759816485947,0.9010680406988978,0.29792723272078125,51.59375,tokens,0.644704243313754,406.41675383708065,1551.0988338777483,0.644704243313754,-0.010563737735866496,-0.053069021246131165,0.035307310711210294,False,False,False
Text Encoder,BGE-origin text,785,16,0.7422999033385071,0.47565040193458646,0.8884374508876859,0.28660121707435876,51.59375,tokens,0.4521358059719205,285.0230450045184,2211.724855213312,0.4521358059719205,-0.01280601677365123,-0.017766217476404167,0.0239812950647878,False,False,False
Text Encoder,E5-origin text,785,16,0.7487735710027934,0.48141909409645145,0.9060527455368409,0.28478227404172357,53.5625,tokens,0.5323789227986708,335.60770827720347,1878.3613647645643,0.5323789227986708,-0.006332349109364976,-0.011997525314539181,0.02216235203215261,False,False,False
Text Encoder,FinBERT-origin text,785,16,0.741810561629651,0.44741193534434387,0.8955361852780461,0.29544752814689873,51.59375,tokens,0.5341188807506114,336.7045648125444,1872.2423715759187,0.5341188807506114,-0.013295358482507402,-0.04600468406664676,0.03282760613732777,False,False,False
Local LLM,Llama3.1-8B,785,16,0.618896239184042,0.2908186759341828,0.8271211324383798,0.4744906491446473,309.6666666666667,tokens,172.48699800111353,108734.51901975414,5.797538432395608,172.48699800111353,-0.13620968092811636,-0.20259794347680782,0.21187072713507632,False,False,False
Local LLM,Qwen2.5-7B,785,16,0.6120992694583313,0.27260903784702845,0.8177784244985769,0.49254793964907995,329.0,tokens,190.4099670238793,120033.02521837095,5.251825918727197,190.4099670238793,-0.14300665065382712,-0.22080758156396219,0.22992801763950899,False,False,False
Commercial API,Claude Sonnet 4.5,785,16,0.7330907453588501,0.4420032847843519,0.8974983200860764,0.34329745468915795,197.32400690846288,prompt_tokens,496.7326678174012,313136.57459662977,2.0131552941623716,496.7326678174012,-0.022015174753308275,-0.05141333462663872,0.080677532679587,False,False,False
Commercial API,DeepSeek v3.2,784,16,0.6992982004118493,0.4333876249314572,0.8683071977373624,0.37832184133752833,183.03737024221454,prompt_tokens,794.314768058119,500730.11447813327,1.2589467553835425,794.314768058119,-0.055807719700309066,-0.060028994479533415,0.11570191932795737,False,False,False
Commercial API,GPT-4.1-mini,785,16,0.6443815036913249,0.3223649641495161,0.8411682690533816,0.448546168174044,178.04179620034543,prompt_tokens,332.24422388174446,209444.28449406818,3.0098341163514992,332.24422388174446,-0.11072441642083353,-0.17105165526147453,0.18592624616447306,False,False,False
Commercial API,Gemini 2.5 Flash,759,16,0.7107525792519546,0.393645454898319,0.8818935708595697,0.3960720376771025,198.47271157167532,prompt_tokens,195.45811692434515,123215.34132177505,5.116185583569621,195.45811692434515,-0.044353340860203816,-0.09977116451267165,0.1334521156675315,False,False,False
